dataset,n,adj_r2,r2,rmse_log,median_ratio,COD,PRD,median_abs_error_pct,mape,outlier_share_pct,smearing_factor,skew_adj,fit_type,neighborhood_code,coefficients,level
sfr,36770,,,0.6459965205805847,0.9762284962139132,10.892982219669713,1.3673595231603033,11.058635635958925,15.401320686331177,15.452814794669568,1.115244153569735,0.95,RLM(Huber),ALL,"{'log_area': {'coefficient': -143.39181434144322, 'pct_change': -100.0, 'pvalue': 2.75167471827556e-09, 'significant': True}, 'log_age': {'coefficient': -0.16793343646074085, 'pct_change': -15.458989369938013, 'pvalue': 1.1786092468959258e-32, 'significant': True}, 'quality_score_clean': {'coefficient': -0.07972843579711061, 'pct_change': -7.663293421691786, 'pvalue': 0.09887543447738438, 'significant': False}, 'log_land_value': {'coefficient': -0.35695234043731655, 'pct_change': -30.01941506194129, 'pvalue': 5.846968690631081e-22, 'significant': True}, 'land_area_interaction': {'coefficient': 0.7514244285737525, 'pct_change': 112.00176806401699, 'pvalue': 1.4689572544102247e-21, 'significant': True}}",countywide
sfr_Rural/Other,36770,,,0.6459965205805847,0.9762284962139132,10.892982219669713,1.3673595231603033,11.058635635958925,15.401320686331177,15.452814794669568,1.115244153569735,0.95,RLM(Huber),Rural/Other,"{'log_area': {'coefficient': -143.39181434144322, 'pct_change': -100.0, 'pvalue': 2.75167471827556e-09, 'significant': True}, 'log_age': {'coefficient': -0.16793343646074085, 'pct_change': -15.458989369938013, 'pvalue': 1.1786092468959258e-32, 'significant': True}, 'quality_score_clean': {'coefficient': -0.07972843579711061, 'pct_change': -7.663293421691786, 'pvalue': 0.09887543447738438, 'significant': False}, 'log_land_value': {'coefficient': -0.35695234043731655, 'pct_change': -30.01941506194129, 'pvalue': 5.846968690631081e-22, 'significant': True}, 'land_area_interaction': {'coefficient': 0.7514244285737525, 'pct_change': 112.00176806401699, 'pvalue': 1.4689572544102247e-21, 'significant': True}}",market_strata
sfr_Rural Large,233,,,0.6796886777239676,0.9852014254877295,11.442651396888785,1.3357924939699264,11.475532613045146,15.249455534986861,14.592274678111588,1.0923181665411839,0.95,RLM(Huber),Rural Large,"{'log_area': {'coefficient': 569.7206152889659, 'pct_change': 2.6700503220294037e+249, 'pvalue': 0.4190591990378797, 'significant': False}, 'log_age': {'coefficient': -0.9305687369057377, 'pct_change': -60.567062308537785, 'pvalue': 2.7918382067138154e-06, 'significant': True}, 'quality_score_clean': {'coefficient': -2.0180008285305004, 'pct_change': -86.7079068630917, 'pvalue': 0.24114445872345702, 'significant': False}, 'log_land_value': {'coefficient': 0.26217344734665105, 'pct_change': 29.975196140866544, 'pvalue': 0.7439560625881084, 'significant': False}, 'land_area_interaction': {'coefficient': -0.6622452024426501, 'pct_change': -48.430779965465355, 'pvalue': 0.7220503426666511, 'significant': False}}",rural_segment
sfr_Rural Medium,2464,,,0.7039182380558263,0.9825738276122795,13.103055007298378,1.430885901591879,13.205248559778976,18.330957832221692,20.941558441558442,1.108876969972785,0.95,RLM(Huber),Rural Medium,"{'log_area': {'coefficient': -20.71864159701917, 'pct_change': -99.9999998995365, 'pvalue': 0.8127140134510404, 'significant': False}, 'log_age': {'coefficient': -0.44635973409285323, 'pct_change': -36.00464824491729, 'pvalue': 1.1089676315680823e-15, 'significant': True}, 'quality_score_clean': {'coefficient': 0.2011867452932492, 'pct_change': 22.285311256499085, 'pvalue': 0.38131258069551255, 'significant': False}, 'log_land_value': {'coefficient': -0.09173073134509901, 'pct_change': -8.76492160588258, 'pvalue': 0.6080111346264596, 'significant': False}, 'land_area_interaction': {'coefficient': 0.12494655868998072, 'pct_change': 13.308789774714036, 'pvalue': 0.7582045911566612, 'significant': False}}",rural_segment
sfr_Rural Small,34073,,,0.6369348656466566,0.9766242214501489,10.542030089692412,1.356429263383211,10.706124922442628,14.915883997697124,14.41904146978546,1.1132189673463897,0.95,RLM(Huber),Rural Small,"{'log_area': {'coefficient': -122.7556072190966, 'pct_change': -100.0, 'pvalue': 8.84907521137371e-07, 'significant': True}, 'log_age': {'coefficient': -0.1709284557780985, 'pct_change': -15.71181253576298, 'pvalue': 2.7194621936212807e-31, 'significant': True}, 'quality_score_clean': {'coefficient': -0.06677622019991447, 'pct_change': -6.459549745020898, 'pvalue': 0.18184471711563255, 'significant': False}, 'log_land_value': {'coefficient': -0.4165371280257395, 'pct_change': -34.06739671329228, 'pvalue': 9.827073716639152e-30, 'significant': True}, 'land_area_interaction': {'coefficient': 0.8757558110806944, 'pct_change': 140.06890758473602, 'pvalue': 2.297394777555373e-29, 'significant': True}}",rural_segment
sfr_n20ACENTRAL,1204,,,0.647350110983669,1.0040260975456299,8.465370998641314,1.2693307595535097,8.723664737190372,12.070693499414627,11.461794019933555,1.0511925404094886,0.95,RLM(Huber),20ACENTRAL,"{'log_area': {'coefficient': 263.339530052348, 'pct_change': 2.327580814199232e+116, 'pvalue': 0.19495956581277907, 'significant': False}, 'log_age': {'coefficient': -0.700895463308493, 'pct_change': -50.38591710924971, 'pvalue': 2.824946544657151e-12, 'significant': True}, 'quality_score_clean': {'coefficient': -1.4277351347912872, 'pct_change': -76.01484610592328, 'pvalue': 9.641084377773154e-05, 'significant': True}, 'log_land_value': {'coefficient': -1.0973095703983535, 'pct_change': -66.62321442747367, 'pvalue': 0.0010765970442416998, 'significant': True}, 'land_area_interaction': {'coefficient': 6.561297798266338, 'pct_change': 70618.88878133254, 'pvalue': 0.003404417125542, 'significant': True}}",neighborhood
sfr_n20ANORTH,847,,,0.588665381475579,0.9990153102278936,10.483313914627033,1.3286923080251032,10.422444501700356,14.40162342812571,15.702479338842975,1.067099897530288,0.95,RLM(Huber),20ANORTH,"{'log_area': {'coefficient': -608.2881694214306, 'pct_change': -100.0, 'pvalue': 3.633957442310397e-05, 'significant': True}, 'log_age': {'coefficient': -0.47974248086742494, 'pct_change': -38.10572391121363, 'pvalue': 2.8710609205650754e-05, 'significant': True}, 'quality_score_clean': {'coefficient': -0.7119515397988421, 'pct_change': -50.93143301506453, 'pvalue': 0.21643948480321173, 'significant': False}, 'log_land_value': {'coefficient': 0.7539344373831482, 'pct_change': 112.53456274941853, 'pvalue': 0.19776343572330135, 'significant': False}, 'land_area_interaction': {'coefficient': -1.747806221320987, 'pct_change': -82.58444165136171, 'pvalue': 0.20831992655523845, 'significant': False}}",neighborhood
sfr_n20ANP,898,,,0.6036511502012983,1.0143565259165643,7.809253701651069,1.2552415148581906,7.8091835414650586,13.281702885874717,11.692650334075724,1.0218993957123883,0.95,RLM(Huber),20ANP,"{'log_area': {'coefficient': 81.39587743967046, 'pct_change': 2.237589532471817e+37, 'pvalue': 0.8051149035251408, 'significant': False}, 'log_age': {'coefficient': -0.45931099348979676, 'pct_change': -36.82812460724809, 'pvalue': 4.2151093520011375e-16, 'significant': True}, 'quality_score_clean': {'coefficient': -1.330480471450486, 'pct_change': -73.5649781950762, 'pvalue': 0.00017598470842844166, 'significant': True}, 'log_land_value': {'coefficient': 0.6816911654073794, 'pct_change': 97.72187102465384, 'pvalue': 0.03433170165820404, 'significant': True}, 'land_area_interaction': {'coefficient': -2.093365078074289, 'pct_change': -87.67283815350886, 'pvalue': 0.05137082766519225, 'significant': False}}",neighborhood
sfr_n20ASKY,1574,,,0.4627525713328167,1.0128113038982791,8.354620666705575,1.2343882119526537,8.423756467872934,10.462387847174428,8.513341804320202,1.0268305646979814,0.95,RLM(Huber),20ASKY,"{'log_area': {'coefficient': -156.63782793891642, 'pct_change': -100.0, 'pvalue': 0.23818101045353401, 'significant': False}, 'log_age': {'coefficient': -0.4698308106449479, 'pct_change': -37.48919790407611, 'pvalue': 7.7050930054979575e-25, 'significant': True}, 'quality_score_clean': {'coefficient': -0.9966171145000023, 'pct_change': -63.08739574352158, 'pvalue': 0.002166675392047079, 'significant': True}, 'log_land_value': {'coefficient': 0.5484065053406946, 'pct_change': 73.04932878316997, 'pvalue': 0.03629417678548263, 'significant': True}, 'land_area_interaction': {'coefficient': -0.9738588714809231, 'pct_change': -62.23769758064791, 'pvalue': 0.11119548429711504, 'significant': False}}",neighborhood
sfr_n20ASOUTH,1308,,,0.5440435773708805,1.0053564708196245,8.439411319571716,1.248510207827227,8.497119175909651,10.886245979933484,8.486238532110093,1.0460060413357772,0.95,RLM(Huber),20ASOUTH,"{'log_area': {'coefficient': -403.92904085672853, 'pct_change': -100.0, 'pvalue': 0.07155213937709064, 'significant': False}, 'log_age': {'coefficient': -0.5041980096839691, 'pct_change': -39.60102248099885, 'pvalue': 4.805834993572413e-12, 'significant': True}, 'quality_score_clean': {'coefficient': 1.8693214426531792, 'pct_change': 548.3895211494653, 'pvalue': 5.504043283262502e-08, 'significant': True}, 'log_land_value': {'coefficient': -1.1507659051872512, 'pct_change': -68.36056515175271, 'pvalue': 2.148265379116335e-05, 'significant': True}, 'land_area_interaction': {'coefficient': 6.817869142034084, 'pct_change': 91303.52541899426, 'pvalue': 8.748892655883098e-06, 'significant': True}}",neighborhood
